"accession","title","published","has_bam","sra_accession"
"GSE295601","The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment. [P6]",2026-02-04,FALSE,NA
"GSE312336","The Cd4+ T cell population Partners with Tpex CD8 T cells to mediate Antitumor Immunity in the Tumor Microenvironment.[renal cancer]",2026-02-04,FALSE,NA
"GSE266852","Comparison of differential gene expression in blood PBMCs from healthy controls, patients with rheumatoid arthritis,and  patients with lupus using single-cell transcriptome sequencing analysis.",2026-01-31,FALSE,NA
"GSE309403","CD4+ T-Cells Mediate CART Immune-Related Adverse Events (CirAE) Following BCMA CART Therapy",2026-01-26,FALSE,NA
"GSE304891","Inflammasome activation and oxidative stress in SARS-CoV-2 breakthrough infection and symptomatic rebound",2026-01-22,FALSE,NA
"GSE285335","Single-cell transcriptomic analysis of PBMCs from IgAN patients",2026-01-20,FALSE,NA
"GSE230606","Gene expression profile at single cell level of CD45+ immune cells in both peripheral blood mononuclear cells (PBMCs) and allograft biopsy samples obtained from kidney transplant recipients",2026-01-14,FALSE,"SRP434488"
"GSE242941","Transcriptional profiling of skin cancer NK cells reveals the elevated glucocorticoid receptor activity alters their pro-inflammatory features.",2026-01-13,FALSE,NA
"GSE316069","Single-cell Profiling Reveals Diverse γδ T Cell Subsets in Ulcerative Colitis",2026-01-12,FALSE,NA
"GSE301630","A single-cell transcriptomic landscape of peripheral leukocytes in healthy dogs",2026-01-11,FALSE,"SRP598092"
"GSE285843","Systematic Comparison of 10X Genomics and Parse Single Cell RNA Technologies across PBMC and CD8+ TEMRA Cells",2025-12-31,FALSE,"SRP556153"
"GSE314072","Functionally heterogeneous intratumoral CD4+CD8+ double positive T cells can give rise to single positive T cells [scRNA-seq + scTCR-seq]",2025-12-31,FALSE,"SRP655943"
"GSE314071","Functionally heterogeneous intratumoral CD4+CD8+ double positive T cells can give rise to single positive T cells [bulkRNA-seq]",2025-12-31,FALSE,"SRP655932"
"GSE268374","Restoration of CD56dim NK Cells by Methotrexate Contributes to the Treatment of Juvenile Idiopathic Arthritis",2025-12-30,FALSE,"SRP509980"
"GSE285339","Narrow-band ultraviolet B induces peripheral regulatory T cells to exert antigen-specific immune suppression [scRNA-seq]",2025-12-30,FALSE,"SRP553878"
"GSE294745","Single-cell transcriptomic and m6A methylation analysis reveals platelet-mediated immune regulatory mechanisms in sepsis",2025-12-30,FALSE,"SRP578999"
"GSE303609","Dermatomyositis is characterized by JAK1-mediated monocyte-driven vasculopathy and inflammation",2025-12-23,FALSE,"SRP603524"
"GSE292997","Integrin β1 demarks precursors of brain-residing antibody-secreting cells in multiple sclerosis",2025-12-18,FALSE,"SRP573323"
"GSE313971","Rational redesign of antigen binding domain improves in vivo efficacy of the CD22-CAR",2025-12-16,FALSE,"SRP655677"
"GSE306570","Simultaneous Induction of Multiple Classes of Broadly Neutralizing Antibody Precursors via Combination Germline-Targeting Immunization",2025-12-16,FALSE,"SRP612785"
"GSE314089","Uncoupling the two distinct roles of targeting BDCA2 in treating autoimmune diseases: direct inhibition of BDCA2-positive B cells and normalization of proinflammatory monocyte-derived macrophages via the global suppression of type I IFN",2025-12-16,FALSE,"SRP655959"
"GSE306023","CD8 T cells cross-restricted by HLA-B*57 and HLA-E*01 recognize HIV Gag with different functional profiles [dataset 2]",2025-12-10,FALSE,"SRP610381"
"GSE305352","Control samples for study ""hiv-seq reveals global host gene expression differences between hiv-transcribing cells from viremic and suppressed people with hiv""",2025-12-09,FALSE,"SRP608725"
"GSE262964","Ascorbic acid increases CD8+ T cells by binding Myh9 protein and enriching gut microbiota Akkermansia muciniphila, improves cognitive levels in middle-aged mice [scRNA-seq]",2025-12-03,FALSE,"SRP499086"
"GSE285164","Targeting of the CD161 Inhibitory Receptor Enhances Bone Marrow-Resident Memory CD8+ T Cell-mediated Immunity Against Multiple Myeloma [CART scRNA-seq]",2025-12-03,FALSE,"SRP553170"
"GSE311935","Single-cell transcriptional profiling of cancer cells in hairy cell leukemia (HCL) patients",2025-12-01,FALSE,"SRP650193"
"GSE250411","Isoleucyl-tRNA synthetase 1 novel mutation promotes deposition of pulmonary surfactant through stabilizing Cathepsin Z [scRNA-seq]",2025-11-30,FALSE,"SRP478561"
"GSE290679","Metabolic Adaptations Rewire CD4 T Cells in a Subset-Specific Manner in Human Critical Illness with and without Sepsis",2025-11-20,FALSE,NA
"GSE291111","Systemic chemotherapy in metastatic TNBC polarizes effector T cell differentiation",2025-11-20,FALSE,"SRP567938"
"GSE297652","Single-cell transcriptomic profiles of metastatic lesion biopsies and PBMCs from M1-stage prostate cancer patients",2025-11-18,FALSE,NA
"GSE300217","Leveraging Two Novel Droplet-Based Single-Cell RNA Sequencing Platforms: a Comparative Study With 10x Genomics",2025-11-16,FALSE,"SRP593306"
"GSE302696","Bioengineered Extracellular Vesicles Co-delivering PD-L1 and miR-27a-3p Synergistically Reprogram T cells To Treat Inflammatory Bowel Disease [scRNA-Seq]",2025-11-11,FALSE,"SRP600954"
"GSE220699","Selecting specific bio-markers and researching mechanisms of immune regulation from inhalation injury (ILI) and traumatic lung injury (TLI) based on single cell RNA sequencing technology",2025-11-10,FALSE,"SRP412614"
"GSE308968","Comparative Single-Cell Transcriptomics of Immune Profiles in LADA Versus Type 1 Diabetes",2025-11-08,FALSE,NA
"GSE286325","Transcriptomes of classical monocytes in post-COVID patients suggest predisposing condition or innate memory from SARS-CoV-2 infection",2025-11-06,FALSE,"SRP556475"
"GSE273803","PURE-seq Integrates FACS and PIP-seq for Single-Cell Genomics of Ultra-rare Cells",2025-10-30,FALSE,"SRP523829"
"GSE249159","scRNA-seq of CD4+ T cells from mouse allergic airway inflammation model and human patients with eosinophilic chronic rhinosinusitis (ECRS)",2025-10-23,FALSE,"SRP475335"
"GSE216280","Single-cell RNA sequencing of peripheral blood mononuclear cell of human osteosarcoma",2025-10-16,FALSE,"SRP403899"
"GSE248689","Interpretable Inflammation Landscape of Circulating Immune cells (ILCIC_HealthyExercise)",2025-10-12,FALSE,"SRP474596"
"GSE248693","Interpretable Inflammation Landscape of Circulating Immune cells (ILCIC_cirrhosis)",2025-10-12,FALSE,"SRP474551"
"GSE248695","Interpretable Inflammation Landscape of Circulating Immune cells (ILCIC_RespiratoryDiseases)",2025-10-12,FALSE,"SRP474626"
"GSE270165","Interpretable Inflammation Landscape of Circulating Immune cells (ILCIC_COVID-HC)",2025-10-12,FALSE,"SRP514645"
"GSE248685","Interpretable Inflammation Landscape of Circulating Immune cells (ILCIC_BRCA)",2025-10-12,FALSE,"SRP474440"
"GSE278240","Construction of immune profiles in PBMC of bacteremia mice with different outcomes",2025-10-09,FALSE,"SRP535391"
"GSE309443","Targeting PTPN2 enhances human CAR T cell efficacy and the development of long-term memory [scRNA-Seq]",2025-10-03,FALSE,NA
"GSE309625","Antigen reactivity defines tissue-resident memory and exhausted T cells in tumours.",2025-10-01,FALSE,"SRP629972"
"GSE308691","scRNA-seq of human CD45+ cells proliferated in the salivary grand or peripheral blood of CD8T cells depleted PBMC-transferred humanized mice",2025-09-30,FALSE,"SRP624517"
"GSE279452","Multiomics Analyses Unveil Immune Landscape in Pediatric and Adult Sepsis [scRNA_seq]",2025-09-27,FALSE,NA
"GSE290757","Allogeneic iPSC-derived iNKT cells in recurrent head and neck cancer: a phase 1 trial",2025-09-27,FALSE,"SRP567211"
"GSE288452","Peanut Allergy Oral Immunotherapy Drives Single-Cell Multi-omic Changes in Peanut-reactive T cells Associated with Sustained Unresponsiveness",2025-09-24,FALSE,"SRP560880"
"GSE275067","Deep longitudinal immune profiling reveals reprogramming of memory T cells that links to B cell dysregulation with age.",2025-09-11,FALSE,NA
"GSE271896","Deep longitudinal immune profiling reveals reprogramming of memory T cells that links to B cell dysregulation with age",2025-09-11,FALSE,NA
"GSE297720","An interpretable and adaptive autoencoder for efficient tissue deconvolution",2025-09-09,FALSE,"SRP586781"
"GSE283826","Single-cell RNA-sequencing analysis reveals the peripheral immune characteristics of patients with primary membranous nephropathy",2025-09-09,FALSE,"SRP550209"
"GSE306708","Multi-step genomics on single cells and live cultures in sub-nanoliter capsules",2025-09-08,FALSE,NA
"GSE298578","Single cell RNA profiling of blood CD4+ T cells identifies distinct helper and dysfunctional regulatory clusters in children with SLE (5' PBMC validation dataset)",2025-09-04,FALSE,"SRP588862"
"GSE285774","Single cell RNA profiling of blood CD4+ T cells identifies distinct helper and dysfunctional regulatory clusters in children with SLE [PBMCs]",2025-09-04,FALSE,"SRP600746"
"GSE287690","Implication of inflammatory cytotoxic IL-7 receptor alpha low effector memory CD8+ T cells that promote innate immunity in lupus.",2025-09-02,FALSE,NA
"GSE298838","Blocking PD-1 engagement rapidly upregulates innate antiviral and immune functions that associate with HIV reservoir decay [scRNA-seq]",2025-08-30,FALSE,"SRP589583"
"GSE298837","Blocking PD-1 engagement rapidly upregulates innate antiviral and immune functions that associate with HIV reservoir decay [bulkRNA-seq]",2025-08-30,FALSE,"SRP589684"
"GSE288975","Multi-omics analysis identifies progenitors of CD4-CTLs [scATAC-seq invitrodiff]",2025-08-25,FALSE,"SRP562052"
"GSE288986","Multi-omics analysis identifies progenitors of CD4-CTLs [scRNA-seq ex vivo]",2025-08-25,FALSE,"SRP562065"
"GSE288988","Multi-omics analysis identifies progenitors of CD4-CTLs [scRNA-seq in vitro]",2025-08-25,FALSE,"SRP562062"
"GSE304467","Multi-omics analysis identifies progenitors of CD4-CTLs [invitrodiff_n_scm_scRNA]",2025-08-25,FALSE,"SRP606347"
"GSE305300","Human memory CD4+ T cells recognize Mycobacterium tuberculosis-infected macrophages amid broader pathogen-specific responses [scRNA-seq]",2025-08-24,FALSE,"SRP608586"
"GSE304129","HIV broadly neutralizing antibody precursors induced to the Apex epitope in non-human primates",2025-08-24,FALSE,"SRP605681"
"GSE285118","Single-cell profiling of blood and cerebrospinal fluid in tuberculous meningitis",2025-08-17,FALSE,"SRP553040"
"GSE275286","Transcriptional analysis of dendritic cells upon TLR stimulation reveals an immunosuppressive profile (N279 scRNA-Seq)",2025-08-17,FALSE,"SRP527575"
"GSE301385","Drug-induced metabolic remodeling of immune cell repertoire generates an effective broad-range antimicrobial effect [scRNA-Seq 2]",2025-08-12,FALSE,"SRP596467"
"GSE214497","Determinants of early-onset cachexia in transgenic mouse model of pancreatic cancer",2025-08-12,FALSE,"SRP400381"
"GSE298084","Tissue-specific immunosuppressive and proliferating macrophages fuel early metastatic progression of human colorectal cancer to liver",2025-08-10,FALSE,"SRP588481"
"GSE304704","The effects of Cryopreservation on PBMCs transcriptome profile",2025-08-06,FALSE,"SRP606965"
"GSE304665","High-Dimensional Analysis of Type 2 Lymphocyte Dynamics During Mepolizumab Treatment in Severe Asthma",2025-08-05,FALSE,NA
"GSE285951","T cell receptor sequencing of HNSCC patient and healthy donor peripheral blood",2025-08-05,FALSE,"SRP555525"
"GSE273975","Single-cell RNA Sequencing Reveals Immune Cell Alterations in Patients with Allergic Rhinitis Treated with Peiyuan Tongqiao Decoction",2025-08-04,FALSE,"SRP524672"
"GSE241457","NR4a knock-down in HER2 CAR-T cells improves T cell longevity and promotes  solid tumor eradication [scRNA-Seq]",2025-07-31,FALSE,"SRP456530"
"GSE287515","Age-associated difference between young-adult and aged ferrets during SFTSV infection",2025-07-31,FALSE,NA
"GSE298212","Chemical reprogramming of human blood cells into hCiPS cells [scRNA-seq]",2025-07-29,FALSE,"SRP588043"
"GSE207141","Prototype LNP-mRNA vaccine candidates [SC_RNAseq]",2025-07-29,FALSE,"SRP384059"
"GSE298795","Vaccination with an mRNA-encoded membrane-bound HIV envelope trimer induces neutralizing antibodies in animal models",2025-07-29,FALSE,"SRP589348"
"GSE298172","Circulating immune cell signature analysis in HFpEF across species [RNA-Seq - mouse]",2025-07-27,FALSE,"SRP588081"
"GSE298173","Circulating immune cell signature analysis in HFpEF across species [RNA-Seq - human]",2025-07-27,FALSE,"SRP587883"
"GSE298171","Circulating immune cell signature analysis in HFpEF across species [scRNA-Seq - mouse]",2025-07-27,FALSE,"SRP588090"
"GSE288613","Immune profiling in subclinical secondary dengue-infected cases",2025-07-24,FALSE,"SRP561290"
"GSE285701","The paradoxical significance of CD39+CD8+ T cells in clear cell renal cell carcinoma [scRNA-seq]",2025-07-22,FALSE,NA
"GSE299662","scRNA-seq of Mycobacterium tuberculosis-specific CD4 T cells from Kenyan women with and wihtout HIV and before and after ART initiation following stimulation with Mtb WCL",2025-07-09,FALSE,"SRP591647"
"GSE255330","Myeloid progenitor dysregulation fuels immunosuppressive macrophages in tumors [dataset 1]",2025-07-06,FALSE,"SRP488933"
"GSE301544","STAMP: Single-Cell Transcriptomics Analysis and Multimodal Profiling through Imaging [Merscope]",2025-07-05,FALSE,NA
"GSE301542","STAMP: Single-Cell Transcriptomics Analysis and Multimodal Profiling through Imaging [scRNA-seq]",2025-07-02,FALSE,"SRP597740"
"GSE297547","Single-cell RNA sequencing of PBMCs from patients with myasthenia gravis and healthy controls",2025-06-30,FALSE,"SRP586352"
"GSE301131","Kimchi intake promotes antigen-presenting cell signaling and CD4⁺ T cell remodeling without inducing systemic immune activation: A single-cell RNA-seq substudy of a randomized, double-blind, placebo-controlled clinical trial",2025-06-29,FALSE,"SRP596052"
"GSE301112","STAMP: Single-Cell Transcriptomics Analysis and Multimodal Profiling through Imaging [Xenium]",2025-06-29,FALSE,NA
"GSE277469","Integrated single-cell chromatin and transcriptomic analyses of human peripheral immune cells in patients with alopecia areata.",2025-06-22,FALSE,"SRP533421"
"GSE290466","STAMP: Single-Cell Transcriptomics Analysis and Multimodal Profiling through Imaging [CosMx Spatial]",2025-06-22,FALSE,NA
"GSE299980","(re)freezing PBMC",2025-06-18,FALSE,NA
"GSE291364","Characterization of chicken peripheral blood mononuclear cells (PBMCs) during AIV prime vaccinations at single-cell resolution",2025-05-28,FALSE,"SRP568723"
"GSE298063","Single dose of CD137-Antibody Drug Conjugate protects non-human primate allogeneic HCT recipients against acute GVHD",2025-05-27,FALSE,"SRP587746"
"GSE267750","TBX21+CD21loCXCR3+B cell expansion with an EBV-associated phenotype in clinically isolated syndrome conversion to multiple sclerosis",2025-05-26,FALSE,"SRP508353"
"GSE267327","BLIMP1 negatively regulates IL-2 signaling in T cells",2025-05-17,FALSE,"SRP507336"
"GSE271543","UCPVax, a CD4 helper peptide vaccine induces polyfunctional Th1 cells, antibody response and epitope spreading to improve antitumor immunity  [scRNA-seq]",2025-05-12,FALSE,"SRP584585"
"GSE278962","Distinct cellular and spatial niches within the inflamed synovium of childhood arthritis  [scRNA-Seq]",2025-05-10,FALSE,"SRP537199"
"GSE296678","Single-cell transcriptomics reveals that human milk feeding shapes neonatal immune cell interleukin signaling pathways in a non-randomized clinical trial",2025-05-07,FALSE,"SRP583940"
"GSE277791","scRNA-seq and genomic reference of PBMC upon TNF Inhibitor Response in Ankylosing Spondylitis",2025-05-01,FALSE,"SRP534279"
"GSE277117","scRNA-seq and genomic reference of PBMC upon TNF Inhibitor Response in Ankylosing Spondylitis",2025-05-01,FALSE,"SRP532522"
"GSE294224","A dendritic cell-like transition of T cells is associated with spontaneous remission of adult T-cell leukemia-lymphoma",2025-04-15,FALSE,"SRP577660"
"GSE264104","A Single-Cell Woodchuck Liver Atlas Identifies Healthy and Disease-related Cellular Programs Conserved in Human [scRNA-Seq]",2025-04-07,FALSE,"SRP502181"
"GSE171741","Albumin treatment transcriptionally reprograms circulating immune cells in patients with acutely decompensated cirrhosis",2025-04-07,FALSE,"SRP314100"
"GSE293707","CD55 upregulation in T cells of COVID-19 patients suppresses type-I interferon responses [scRNA-seq]",2025-04-03,FALSE,"SRP576263"
"GSE293708","CD55 upregulation in T cells of COVID-19 patients suppresses type-I interferon responses [bulkRNA-seq]",2025-04-03,FALSE,"SRP576261"
"GSE206289","SARS-CoV-2 induced immune perturbations in infants vary with disease severity and differ from adults’ responses",2025-03-30,FALSE,NA
"GSE268279","Cytolytic γδ T-cells and IFNγ-producing CD4-lymphocytes characterise the early response to MTBVAC tuberculosis vaccine",2025-03-27,FALSE,"SRP509748"
"GSE249243","Single-cell transcriptomic analysis identified resistant MDSCs and a stress-tolerant gene co-expression network as common MDSC features across multiple disease settings",2025-03-25,FALSE,NA
"GSE248954","Single-cell transcriptomic analysis identified resistant MDSCs and a stress-tolerant gene co-expression network as common MDSC features across multiple disease settings",2025-03-25,FALSE,"SRP474932"
"GSE290141","Immune Evasion Mechanisms in Early Stage-I High-Grade Serous Ovarian Carcinoma: Insights into Regulatory T-Cell Dynamics",2025-03-23,FALSE,"SRP565352"
"GSE231948","Gene expression profile at single cell level of ferret peripheral blood mononuclear cell (PBMC) and splenocyte samples",2025-03-18,FALSE,"SRP436511"
"GSE212704","Humanized Mouse Model Reveals T-Cell ANXA2 as a Potential Therapeutic Target in Ischemic Stroke",2025-03-17,FALSE,"SRP395694"
"GSE290112","Concurrent loss of the Y chromosome in cancer and T cells impacts outcome [scRNA-seq MB49]",2025-03-17,FALSE,"SRP565318"
"GSE249974","Anti-VEGF treatment enhances antitumor responses by targeting regulatory T cells",2025-03-13,FALSE,"SRP477552"
"GSE274643","Hyperleukocytosis in a neuroblastoma patient after treatment with natural killer T cells expressing a GD2-specific chimeric antigen receptor and IL15",2025-03-12,FALSE,"SRP525917"
"GSE270142","Activated polyreactive B cells are clonally expanded in autoantibody positive and patients with recentonset type 1 diabetes",2025-03-12,FALSE,"SRP514583"
"GSE291758","Comparison of 3' GEM-X and PIPseq V on human immune cells",2025-03-11,FALSE,"SRP569884"
"GSE226648","The immune landscape of the “deregulated host response” in sepsis: newly emerging MDSCs with high expression of CD47 leads to B cell suppression via App-CD74 signaling [scRNA-seq]",2025-03-11,FALSE,"SRP425657"
"GSE222996","The immune landscape of the “deregulated host response” in sepsis: newly emerging MDSCs with high expression of CD47 leads to B cell suppression via App-CD74 signaling [RNA-seq]",2025-03-11,FALSE,"SRP417818"
"GSE291681","The saponin monophosphoryl lipid A nanoparticle adjuvant induces dose-dependent HIV vaccine responses in non-human primates",2025-03-10,FALSE,"SRP569659"
"GSE290587","Concurrent loss of the Y chromosome in cancer and T cells impacts outcome [scRNA-seq]",2025-03-09,FALSE,"SRP566533"
"GSE220071","Characterization of chicken peripheral blood mononuclear cells (PBMCs) during prime vaccinations at single-cell resolution",2025-03-04,FALSE,"SRP411327"
"GSE290722","Longitudinal single-cell immunoprofiling links durable CAR T response to sustained activation and clonotypic expansion of the native cytotoxic T cell repertoire",2025-03-03,FALSE,NA
"GSE260860","Transcriptional analysis of dendritic cells upon TLR stimulation reveals an immunosuppressive profile [PBMC scRNA-seq]",2025-02-28,FALSE,"SRP493414"
"GSE285086","Staphylococcus aureus-specific TIGIT+ Treg are present in the blood of healthy subjects – a hurdle for vaccination?",2025-02-25,FALSE,"SRP558147"
"GSE285173","Single-cell RNA sequencing of PBMCs from COVID-19 recovered adolescents (n = 3) and adults (n = 3)",2025-02-24,FALSE,"SRP553228"
"GSE279838","ScRNA-seq Analysis of peripheral blood Tfh cells from rheumatoid arthritis patients",2025-02-23,FALSE,"SRP539396"
"GSE289825","Single-cell transcriptomic profiling of immune landscape in triple-negative breast cancer during neoadjuvant chemotherapy",2025-02-19,FALSE,"SRP564583"
"GSE289149","Pooled screening identifies combinatorial CAR signaling domains for next-generation CAR-M immunotherapies [scRNA-seq]",2025-02-16,FALSE,"SRP562896"
"GSE196796","The transcriptomic landscape of pediatrics with dengue virus infection reveals the severity-dependent immune response",2025-02-13,FALSE,"SRP359991"
"GSE255566","Single-cell RNA sequencing of peripheral blood mononuclear cells reveals complex cellular signalling signatures of type 2 diabetes mellitus",2025-02-11,FALSE,"SRP489304"
"GSE288581","Single Cell Immune Profiling in Ankylosing Spondylitis Reveals Resistance of CD8+ T cells to Immune Exhaustion",2025-02-05,FALSE,"SRP561214"
"GSE282793","Comprehensive Single-Cell Chromatin and Transcriptomic Profiling of Peripheral Immune Cells in Non-Segmental Vitiligo",2025-02-04,FALSE,"SRP547482"
"GSE190905","Single-cell RNA and TCR sequencing reveals distinct systematic immune response induced by SABR with or without prior anti-PD-1 therapy",2025-02-04,FALSE,"SRP350787"
"GSE256089","scRNA-seq analyses of HTO-tagged human peripheral blood mononuclear cells collected at the ART timepoint during HIV-1 disease",2025-01-28,FALSE,"SRP490396"
"GSE252383","Genetic background and aging-driven neuroimmune and disc changes underscore herniation susceptibility and pain-associated behaviors in SM/J mice",2025-01-22,FALSE,NA
"GSE287541","Transcriptomic and proteomic characterization of cell and protein biomarkers of checkpoint inhibitor-induced liver injury [scRNA-seq]",2025-01-21,FALSE,"SRP558677"
"GSE223074","Total B cells from Healthy Individual",2025-01-16,FALSE,"SRP417909"
"GSE260796","single-cell transcriptomics in patients with anti-citrullinated peptide antibody-positive early rheumatoid arthritis",2025-01-12,FALSE,"SRP493196"
"GSE286228","Single-Cell RNA Sequencing of PBMCs from a Patient with Recurrent Anti-Synthetase Syndrome-Associated Interstitial Lung Disease: Pre- and Post-Regimen Adjustment",2025-01-08,FALSE,NA
"GSE285943","A reference model for circulating hematopoietic stem cells with applications to diagnostics",2025-01-05,FALSE,NA
"GSE283190","Passive Infusion of an S2-Stem Broadly Neutralizing Antibody protects against SARS-CoV-2 infection and lower airway inflammation",2024-12-30,FALSE,"SRP548436"
"GSE285196","Pathogenesis of Graves' Disease Using Single-Cell Sequencing with Thyroid Autoantigens Peptides Stimulation in B Cells",2024-12-22,FALSE,"SRP553261"
"GSE270738","The immune profile of circulating autoreactive CD4 T cells is imprinted through tissue activation during autoimmune liver diseases (TTm)",2024-12-18,FALSE,"SRP516029"
"GSE272294","Decoding the immune checkpoint signatures in human atherosclerosis: implications of type 2 diabetes and lipid-lowering intervention [human PBMC scRNA-Seq]",2024-12-17,FALSE,"SRP520022"
"GSE248556","Single-cell transcriptome of PBMC response to Omicron breakthrough infection",2024-12-17,FALSE,"SRP474023"
"GSE264196","A 50-gene high-risk profile predictive of COVID-19 and Idiopathic Pulmonary Fibrosis mortality originates from a molecular imbalance in monocyte and T-cell subsets that reverses in survivors with post-COVID-19 Interstitial Lung Disease",2024-12-04,FALSE,"SRP502307"
